datetime(kst),location,state1,state2,count
2020-02-29 16:00:00,충남,검사현황,검사중,2236
2020-02-29 16:00:00,충남,검사현황,결과음성,1756
2020-02-29 16:00:00,전북,확진,격리중,4
2020-02-29 16:00:00,전북,확진,격리해제,1
2020-02-29 16:00:00,전북,확진,사망,0
2020-02-29 16:00:00,전북,검사현황,검사중,443
2020-02-29 16:00:00,전북,검사현황,결과음성,944
2020-02-29 16:00:00,전남,확진,격리중,2
2020-02-29 16:00:00,전남,확진,격리해제,1
2020-02-29 16:00:00,전남,확진,사망,0
2020-02-29 16:00:00,전남,검사현황,검사중,948
2020-02-29 16:00:00,전남,검사현황,결과음성,1517
2020-02-29 16:00:00,경북,확진,격리중,480
2020-02-29 16:00:00,경북,확진,격리해제,0
2020-02-29 16:00:00,경북,확진,사망,8
2020-02-29 16:00:00,경북,검사현황,검사중,4654
2020-02-29 16:00:00,경북,검사현황,결과음성,3876
2020-02-29 16:00:00,경남,확진,격리중,59
2020-02-29 16:00:00,경남,확진,격리해제,0
2020-02-29 16:00:00,경남,확진,사망,0
2020-02-29 16:00:00,경남,검사현황,검사중,1244
2020-02-29 16:00:00,경남,검사현황,결과음성,2809
2020-02-29 16:00:00,제주,확진,격리중,2
2020-02-29 16:00:00,제주,확진,격리해제,0
2020-02-29 16:00:00,제주,확진,사망,0
2020-02-29 16:00:00,제주,검사현황,검사중,82
2020-02-29 16:00:00,제주,검사현황,결과음성,771
2020-02-29 16:00:00,검역,확진,격리중,0
2020-02-29 16:00:00,검역,확진,격리해제,0
2020-02-29 16:00:00,검역,확진,사망,0
2020-02-29 16:00:00,검역,검사현황,검사중,0
2020-02-29 16:00:00,검역,검사현황,결과음성,537
2020-03-01 16:00:00,서울,확진,격리중,74
2020-03-01 16:00:00,서울,확진,격리해제,13
2020-03-01 16:00:00,서울,확진,사망,0
2020-03-01 16:00:00,서울,검사현황,검사중,4739
2020-03-01 16:00:00,서울,검사현황,결과음성,11643
2020-03-01 16:00:00,부산,확진,격리중,83
2020-03-01 16:00:00,부산,확진,격리해제,0
2020-03-01 16:00:00,부산,확진,사망,0
2020-03-01 16:00:00,부산,검사현황,검사중,2587
2020-03-01 16:00:00,부산,검사현황,결과음성,4462
2020-03-01 16:00:00,대구,확진,격리중,2692
2020-03-01 16:00:00,대구,확진,격리해제,4
2020-03-01 16:00:00,대구,확진,사망,9
2020-03-01 16:00:00,대구,검사현황,검사중,5486
2020-03-01 16:00:00,대구,검사현황,결과음성,5472
2020-03-01 16:00:00,인천,확진,격리중,5
2020-03-01 16:00:00,인천,확진,격리해제,1
2020-03-01 16:00:00,인천,확진,사망,0
2020-03-01 16:00:00,인천,검사현황,검사중,1323
2020-03-01 16:00:00,인천,검사현황,결과음성,4023
2020-03-01 16:00:00,광주,확진,격리중,7
2020-03-01 16:00:00,광주,확진,격리해제,2
2020-03-01 16:00:00,광주,확진,사망,0
2020-03-01 16:00:00,광주,검사현황,검사중,718
2020-03-01 16:00:00,광주,검사현황,결과음성,711
2020-03-01 16:00:00,대전,확진,격리중,13
2020-03-01 16:00:00,대전,확진,격리해제,0
2020-03-01 16:00:00,대전,확진,사망,0
2020-03-01 16:00:00,대전,검사현황,검사중,1161
2020-03-01 16:00:00,대전,검사현황,결과음성,1524
2020-03-01 16:00:00,울산,확진,격리중,20
2020-03-01 16:00:00,울산,확진,격리해제,0
2020-03-01 16:00:00,울산,확진,사망,0
2020-03-01 16:00:00,울산,검사현황,검사중,505
2020-03-01 16:00:00,울산,검사현황,결과음성,1722
2020-03-01 16:00:00,세종,확진,격리중,1
2020-03-01 16:00:00,세종,확진,격리해제,0
2020-03-01 16:00:00,세종,확진,사망,0
2020-03-01 16:00:00,세종,검사현황,검사중,267
2020-03-01 16:00:00,세종,검사현황,결과음성,61
2020-03-01 16:00:00,경기,확진,격리중,80
2020-03-01 16:00:00,경기,확진,격리해제,8
2020-03-01 16:00:00,경기,확진,사망,1
2020-03-01 16:00:00,경기,검사현황,검사중,5392
2020-03-01 16:00:00,경기,검사현황,결과음성,13222
